,phrase,label,sentiment,subjectivity,language,count
Some of the information stored on your device,Some of the information stored on your device,MISC,,,de,470
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,418
“,“,MISC,0.6444444444444445,6.7444444444444445,de,384
deutschen,deutschen,MISC,,,de-DE,345
russischen,russischen,MISC,,,de-DE,257
Au\u00dfenpolitik,Au\u00dfenpolitik,MISC,,,de,256
Schaupl\u00e4tzen,Schaupl\u00e4tzen,MISC,,,de,256
deutsche,deutsche,MISC,,,de,236
russische,russische,MISC,,,de-DE,185
When browsing with ads,When browsing with ads,MISC,,,de,152
ukrainische,ukrainische,MISC,,,de,141
"transmit it to third-party providers
 ","transmit it to third-party providers
 ",MISC,,,de,116
ukrainischen,ukrainischen,MISC,,,de,111
Zeit,Zeit,MISC,,,de,100
Berliner,Berliner,MISC,,,de,98
Deutschen,Deutschen,MISC,,,de,94
Krieg,Krieg,MISC,,,de,91
russisches,russisches,MISC,,,de,80
russischer,russischer,MISC,,,de,74
COP27,COP27,MISC,-5.050000000000001,4.0,de,66
Deutsche,Deutsche,MISC,,,de,66
britische,britische,MISC,,,de,62
europäischen,europäischen,MISC,,,de,61
Gaspreisbremse,Gaspreisbremse,MISC,0.11234567901234566,0.05679012345679012,de,57
Hamburger,Hamburger,MISC,,,de-DE,56
LNG-Terminal,LNG-Terminal,MISC,-0.4895833333333335,0.2,de,51
europäische,europäische,MISC,,,de,51
…,…,MISC,0.20670103092783496,0.0,de,50
Tages,Tages,MISC,,,de,48
russischem,russischem,MISC,,,de,47
Ukraine-Kriegs,Ukraine-Kriegs,MISC,,,de,46
Bürger,Bürger,MISC,,,de-DE,46
Russische,Russische,MISC,,,de,46
deutscher,deutscher,MISC,,,de,45
Energiekrise,Energiekrise,MISC,0.11388888888888887,0.0,de,44
"transmit it to third-party providers
 ","transmit it to third-party providers
 ",MISC,,,de,42
Nord Stream 2,Nord Stream 2,MISC,-0.23124999999999998,0.25,de,40
Der Kurz-Link die…,Der Kurz-Link die…,MISC,,,de,36
ePaper,ePaper,MISC,,,de,36
Euro,Euro,MISC,,,de,36
Gaspreis,Gaspreis,MISC,-0.003488372093023259,0.0,de,36
AKW,AKW,MISC,,,de,33
soziale,soziale,MISC,,,de,31
Strompreis,Strompreis,MISC,-0.04000000000000001,0.26666666666666666,de,29
ägyptischen,ägyptischen,MISC,,,de,29
französischen,französischen,MISC,,,de,28
schwedischen,schwedischen,MISC,,,de,28
Krieges,Krieges,MISC,,,de,27
französische,französische,MISC,,,de,27
britischen,britischen,MISC,,,en,26
kWh,kWh,MISC,-0.15000000000000002,13.0,de,24
Internet,Internet,MISC,,,de,23
chinesischen,chinesischen,MISC,,,de,22
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,22
CO2-Emissionen,CO2-Emissionen,MISC,,,de,22
LNG-Terminals,LNG-Terminals,MISC,0.7375,0.0,de,20
deutsch-französische,deutsch-französische,MISC,,,de,20
deutsch-französischen,deutsch-französischen,MISC,,,de,20
d…,d…,MISC,0.07727272727272726,0.045454545454545456,de,19
sozialen,sozialen,MISC,,,de,19
Google,Google,MISC,,,de,19
Amazon,Amazon,MISC,,,de,19
Ampel-Koalition,Ampel-Koalition,MISC,-0.125,0.0,de,18
LNG-Tanker,LNG-Tanker,MISC,,,de,18
Twitter,Twitter,MISC,,,de,18
Krieg gegen die Ukraine,Krieg gegen die Ukraine,MISC,,,de,18
schwedische,schwedische,MISC,,,de,17
EU-Energieminister,EU-Energieminister,MISC,,,de,17
polnische,polnische,MISC,,,de,17
Kanzler Scholz,Kanzler Scholz,MISC,0.5666666666666667,0.0,de,17
Schweizer,Schweizer,MISC,,,de,16
Berliner Senat,Berliner Senat,MISC,,,de,16
Gaskrise,Gaskrise,MISC,,,de-DE,16
sächsische,sächsische,MISC,,,de,15
SPD-Politiker,SPD-Politiker,MISC,3.0999999999999996,0.0,de,15
Russen,Russen,MISC,-0.53,0.05,de,15
Kohleausstieg,Kohleausstieg,MISC,,,de,15
Ukrainer,Ukrainer,MISC,-0.24999999999999994,0.25,de,15
