,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.055046948356807464,0.03955399061032864,de,284
SPD,SPD,ORG,0.09934523809523808,0.04422619047619048,de,280
n-tv,n-tv,ORG,0.6999999999999982,0.0,de,256
FDP,FDP,ORG,0.0072972972972972965,0.08963963963963964,de,185
Bundestag,Bundestag,ORG,0.08708333333333332,0.015,de,160
SPIEGEL,SPIEGEL,ORG,0.23980891719745226,0.006369426751592357,de,157
Grüne,Grüne,ORG,0.0236111111111111,0.11284722222222222,de,144
EU-Kommission,EU-Kommission,ORG,-0.02204724409448819,0.003937007874015748,de,127
CDU,CDU,ORG,0.02854785478547855,0.030363036303630363,de,101
LNG,LNG,ORG,0.0728395061728395,0.1111111111111111,de,81
Nord-Stream-Pipelines,Nord-Stream-Pipelines,ORG,-0.012499999999999997,0.09210526315789473,de,76
EU-Staaten,EU-Staaten,ORG,-0.028222222222222218,0.17333333333333334,de,75
Deutschland,Deutschland,ORG,0.008870967741935484,0.06451612903225806,de,62
die Grünen,die Grünen,ORG,0.17672413793103448,0.02586206896551724,de,58
CSU,CSU,ORG,0.14807692307692305,0.09807692307692308,de,52
RT DE,RT DE,ORG,0.02549019607843137,0.049019607843137254,de,51
BASF,BASF,ORG,0.09659863945578231,0.02040816326530612,de,49
Die Grünen,Die Grünen,ORG,-0.0010869565217391242,0.06521739130434782,de,46
Partei,Partei,ORG,0.17666666666666664,0.044444444444444446,de,45
EZB,EZB,ORG,-0.008888888888888882,0.016666666666666666,de,45
AfD,AfD,ORG,0.012121212121212118,0.007575757575757575,de,44
Nord Stream 1,Nord Stream 1,ORG,-0.08372093023255814,0.0,de,43
Grünen,Grünen,ORG,0.2046511627906977,0.023255813953488372,de,43
EU-Länder,EU-Länder,ORG,0.1,0.09523809523809523,de,42
NZZ,NZZ,ORG,0.0,0.9285714285714286,de,42
Kommission,Kommission,ORG,0.011249999999999996,0.0125,de,40
Auto &,Auto &,ORG,0.0,0.9743589743589743,de,39
Europäischen Union,Europäischen Union,ORG,-0.18,0.17142857142857143,de,35
KURZMELDUNGEN,KURZMELDUNGEN,ORG,-0.0757142857142857,0.04285714285714286,de,35
Russland,Russland,ORG,0.010833333333333339,0.016666666666666666,de,30
DW,DW,ORG,-0.05172413793103448,0.08620689655172414,de,29
