,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.015570776255707769,0.05898021308980213,de,438
Olaf Scholz,Olaf Scholz,PER,0.11801932367149758,0.035555555555555556,de,345
Scholz,Scholz,PER,0.09424460431654676,0.0,de-DE,139
Robert Habeck,Robert Habeck,PER,0.09625603864734297,0.03103864734299517,de,138
<ol><li,<ol><li,PER,0.07745283018867927,0.08333333333333333,de,106
Christian Lindner,Christian Lindner,PER,0.004263565891472856,0.10271317829457363,de,86
Energiekrise,Energiekrise,PER,0.01970588235294118,0.023529411764705882,de,85
Uniper,Uniper,PER,0.026388888888888892,0.09027777777777778,de,72
Selenskyj,Selenskyj,PER,-0.08502415458937194,0.0,de,69
Wladimir Putin,Wladimir Putin,PER,0.05083333333333333,0.0,de,60
Habeck,Habeck,PER,0.010344827586206888,0.02586206896551724,de,58
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.010714285714285716,0.0,de,56
Heizöl,Heizöl,PER,-0.015740740740740746,0.3055555555555556,de-DE,54
Macron,Macron,PER,-0.11274509803921569,0.0196078431372549,de,51
"Inhaltsverzeichnis
","Inhaltsverzeichnis
",PER,0.19200000000000003,0.16399999999999998,de,50
Verbraucher,Verbraucher,PER,0.031597222222222214,0.14583333333333334,de-DE,48
Putin,Putin,PER,-0.07954545454545454,0.022727272727272728,de,44
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.1375,0.0,de,40
Gaspreisbremse,Gaspreisbremse,PER,0.07249999999999998,0.05,de,40
Liz Truss,Liz Truss,PER,-0.015384615384615379,0.16666666666666666,de,39
Putins,Putins,PER,-0.062254901960784315,0.029411764705882353,de-DE,34
Emmanuel Macron,Emmanuel Macron,PER,0.0,0.08387096774193549,de,31
Finanzminister Lindner,Finanzminister Lindner,PER,0.04838709677419354,0.12903225806451613,de,31
Aldi,Aldi,PER,0.2733333333333333,0.06666666666666667,de,30
Stephan Weil,Stephan Weil,PER,0.17333333333333334,0.0,de,30
Lindner,Lindner,PER,0.018333333333333333,0.03333333333333333,de,30
Liveblog,Liveblog,PER,-0.02678571428571429,0.08928571428571429,de,28
Heizölpreise,Heizölpreise,PER,0.0,0.07142857142857142,de,28
Joe Biden,Joe Biden,PER,-0.016071428571428577,0.0,de,28
Fracking,Fracking,PER,-0.1,0.037037037037037035,de,27
Friedrich Merz,Friedrich Merz,PER,-0.12884615384615386,0.057692307692307696,de,26
Klaus Müller,Klaus Müller,PER,0.11600000000000002,0.02,de,25
Ursula von der Leyen,Ursula von der Leyen,PER,-0.04583333333333334,0.0,de,24
Kretschmer,Kretschmer,PER,0.1201388888888889,0.0,de,24
Elon Musk,Elon Musk,PER,0.043478260869565216,0.11594202898550726,de,23
Berlins,Berlins,PER,0.17424242424242423,0.07575757575757575,de,22
"http://epaper.welt.de 
 ","http://epaper.welt.de 
 ",PER,0.0,0.0,de,22
Markus Söder,Markus Söder,PER,-0.08409090909090909,0.0,de,22
Frank-Walter Steinmeier,Frank-Walter Steinmeier,PER,0.045454545454545456,0.09090909090909091,de,22
Merkel,Merkel,PER,0.38636363636363635,0.06363636363636363,de,22
Flüssiggas,Flüssiggas,PER,0.0642857142857143,0.09523809523809523,de,21
Blackouts,Blackouts,PER,-0.08666666666666667,0.025,de,20
Außenministerin Baerbock,Außenministerin Baerbock,PER,-0.1525,0.25,de,20
Bundespräsident Steinmeier,Bundespräsident Steinmeier,PER,-0.04083333333333333,0.0,de,20
Lecks,Lecks,PER,0.175,0.0,de,20
Flüssigerdgas,Flüssigerdgas,PER,-0.030000000000000006,0.0,de,20
Gasverbrauch,Gasverbrauch,PER,-0.027631578947368417,0.15789473684210525,de,19
Wasserstoff,Wasserstoff,PER,0.2210526315789474,0.10526315789473684,de,19
Sachsens,Sachsens,PER,0.08947368421052629,0.0,de,19
Wolfgang Schäuble,Wolfgang Schäuble,PER,0.12368421052631577,0.0,de,19
Demonstrationen,Demonstrationen,PER,0.0,0.05263157894736842,de,19
Annalena Baerbock,Annalena Baerbock,PER,0.13166666666666665,0.0,de,18
Michael Kretschmer,Michael Kretschmer,PER,-0.09607843137254901,0.0,de,17
Brüssel,Brüssel,PER,0.029411764705882353,0.08823529411764706,de,17
Rosneft,Rosneft,PER,-0.4375,0.0,de,16
Kiew,Kiew,PER,0.0,0.0,de,16
Eon,Eon,PER,0.006249999999999992,0.0,de,16
Angela Merkel,Angela Merkel,PER,0.39375000000000004,0.07500000000000001,de,16
Baerbock,Baerbock,PER,-0.020000000000000004,0.0,de,15
Franziska Giffey,Franziska Giffey,PER,0.2714285714285714,0.07142857142857142,de,14
Steffi Lemke,Steffi Lemke,PER,0.1357142857142857,0.028571428571428574,de,14
Charles Michel,Charles Michel,PER,-0.21428571428571427,0.14285714285714285,de,14
Faeser,Faeser,PER,0.12142857142857143,0.14285714285714285,de,14
Nancy Faeser,Nancy Faeser,PER,-0.19999999999999998,0.0,de,14
Pellets,Pellets,PER,-0.09285714285714285,0.25,de,14
Wirtschaftsminister Robert Habeck,Wirtschaftsminister Robert Habeck,PER,0.049999999999999996,0.0,de,14
Gasspeicher,Gasspeicher,PER,0.09285714285714285,0.0,de,14
Bundesnetzagentur,Bundesnetzagentur,PER,-0.22499999999999995,0.0,de,14
Rishi Sunak,Rishi Sunak,PER,0.12142857142857143,0.0,de,14
Bundeskanzler Scholz,Bundeskanzler Scholz,PER,0.030769230769230764,0.0,de,13
Gaspreisdeckel,Gaspreisdeckel,PER,-0.23076923076923078,0.0,de,13
Merz,Merz,PER,-0.1064102564102564,0.0641025641025641,de,13
Mieter,Mieter,PER,0.16153846153846152,0.0,de,13
Ulrich Reitz,Ulrich Reitz,PER,-0.07692307692307693,0.0,de,13
Giffey,Giffey,PER,0.05833333333333333,0.0,de,12
Sprengstoff,Sprengstoff,PER,0.05833333333333333,0.0,de,12
Boris Johnson,Boris Johnson,PER,0.08333333333333333,0.08333333333333333,de,12
