,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,0.02035081330420005,0.09861616897305171,de,1373
Ukraine,Ukraine,LOC,-0.022751524390243902,0.04466463414634146,de,656
Russland,Russland,LOC,-0.0824858320453375,0.047655847501288,de,647
Berlin,Berlin,LOC,0.0002756160830090825,0.051102464332036315,de,514
Europa,Europa,LOC,-0.07309027777777781,0.04918981481481481,de,288
Washington,Washington,LOC,-0.00173992673992674,0.0027472527472527475,de,273
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,263
Deutschlands,Deutschlands,LOC,0.008422939068100358,0.11953405017921145,de,186
China,China,LOC,-0.04211500974658869,0.11871345029239766,de,171
Frankreich,Frankreich,LOC,0.0013888888888888876,0.07286324786324787,de,156
Kiew,Kiew,LOC,-0.06461038961038962,0.039935064935064934,de,154
Bund,Bund,LOC,0.06361788617886181,0.0813008130081301,de,123
USA,USA,LOC,-0.008419540229885041,0.06637931034482758,de,116
Gaspreisbremse,Gaspreisbremse,LOC,0.12391304347826078,0.03130434782608696,de,115
Brüssel,Brüssel,LOC,0.06517857142857143,0.044642857142857144,de,112
Russlands,Russlands,LOC,-0.0822327044025157,0.040880503144654086,en,106
Ostsee,Ostsee,LOC,-0.000709219858156033,0.060283687943262415,de,94
Niedersachsen,Niedersachsen,LOC,-0.023180076628352496,0.021839080459770115,de,87
Moskau,Moskau,LOC,-0.0630952380952381,0.0,de,84
Europas,Europas,LOC,-0.08690476190476193,0.12896825396825395,de,84
Ägypten,Ägypten,LOC,-0.002108433734939757,0.07590361445783132,de,83
Wilhelmshaven,Wilhelmshaven,LOC,-0.062447257383966226,0.012658227848101266,de,79
Staaten,Staaten,LOC,0.029746835443037977,0.2130801687763713,de,79
Polen,Polen,LOC,-0.006617647058823526,0.029411764705882353,de,68
Paris,Paris,LOC,-0.05606060606060606,0.022727272727272728,de,66
Cherson,Cherson,LOC,-0.15423076923076923,0.007692307692307693,de,65
Deutschland.,Deutschland.,LOC,0.09262295081967213,0.0,de,61
Spanien,Spanien,LOC,0.12955555555555556,0.04777777777777778,de,60
Österreich,Österreich,LOC,-0.016101694915254237,0.0423728813559322,de,59
Düsseldorf,Düsseldorf,LOC,0.06779661016949153,0.1271186440677966,de,59
EU-Gipfel,EU-Gipfel,LOC,0.1706896551724138,0.11206896551724138,de,58
Großbritannien,Großbritannien,LOC,-0.2222222222222222,0.04259259259259259,de,54
Schweden,Schweden,LOC,0.1478723404255319,0.0,de,47
Hamburg,Hamburg,LOC,0.05555555555555555,0.07777777777777778,de,45
Bayern,Bayern,LOC,-0.09767441860465116,0.13953488372093023,de,43
Bonn,Bonn,LOC,0.027380952380952377,0.023809523809523808,de,42
Katar,Katar,LOC,0.12142857142857144,0.09523809523809523,de,42
den USA,den USA,LOC,0.13452380952380955,0.03571428571428571,de,42
Kreml,Kreml,LOC,-0.16463414634146345,0.012195121951219513,de,41
Scholz,Scholz,LOC,0.09333333333333334,0.0,de-DE,40
Türkei,Türkei,LOC,-0.05128205128205128,0.05128205128205128,de,39
Berlins,Berlins,LOC,0.1600877192982456,0.12280701754385963,de,38
Finanzminister,Finanzminister,LOC,-0.0706140350877193,0.06140350877192983,de,38
München,München,LOC,0.03026315789473684,0.06578947368421052,de,38
Union,Union,LOC,-0.22361111111111104,0.061111111111111116,de,36
Iran,Iran,LOC,-0.016666666666666663,0.0,de,36
Norwegen,Norwegen,LOC,0.009722222222222212,0.022222222222222223,de,36
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.31857142857142856,0.05714285714285714,de,35
Schweiz,Schweiz,LOC,0.019852941176470584,0.029411764705882353,de,34
Stadt,Stadt,LOC,0.04292929292929293,0.1919191919191919,de,33
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.25909090909090904,0.09090909090909091,de,33
Frankreichs,Frankreichs,LOC,-0.09687500000000002,0.03125,de,32
London,London,LOC,-0.30937499999999996,0.078125,de,32
Strompreisbremse,Strompreisbremse,LOC,0.0838709677419355,0.0,de,31
Lubmin,Lubmin,LOC,0.043548387096774194,0.0,de,31
Italien,Italien,LOC,0.07903225806451612,0.08064516129032258,de,31
Israel,Israel,LOC,0.16,0.0,de,30
Libanon,Libanon,LOC,0.09333333333333332,0.1,de,30
Lecks,Lecks,LOC,0.06724137931034481,0.0,de,29
Nordsee,Nordsee,LOC,-0.031034482758620693,0.034482758620689655,de,29
Frankfurt,Frankfurt,LOC,0.044642857142857144,0.03571428571428571,de,28
Landes,Landes,LOC,-0.03035714285714286,0.05357142857142857,de,28
Dänemark,Dänemark,LOC,0.09107142857142857,0.07142857142857142,de,28
Selenskyj,Selenskyj,LOC,-0.119047619047619,0.0,de,28
Nord-Stream-Pipelines,Nord-Stream-Pipelines,LOC,0.07037037037037036,0.18518518518518517,de,27
Sachsens,Sachsens,LOC,0.06538461538461536,0.0,de,26
…,…,LOC,-0.049999999999999996,0.0,de,26
US-Präsident,US-Präsident,LOC,-0.188,0.08,de,25
Ukraine-Krieg,Ukraine-Krieg,LOC,-0.13,0.02,de,25
Emsland,Emsland,LOC,0.10625,0.0,de,24
Isar,Isar,LOC,0.06739130434782607,0.0,de,23
NRW,NRW,LOC,0.05217391304347825,0.23188405797101447,de,23
Thüringen,Thüringen,LOC,-0.19772727272727272,0.0,de,22
Prag,Prag,LOC,-0.030681818181818185,0.0,de,22
Chinas,Chinas,LOC,-0.18181818181818182,0.0,de,22
Russland.,Russland.,LOC,0.018181818181818177,0.36363636363636365,de,22
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.036363636363636355,0.13636363636363635,de,22
Leipzig,Leipzig,LOC,-0.1357142857142857,0.047619047619047616,de,21
Saporischschja,Saporischschja,LOC,-0.21904761904761907,0.11904761904761904,de,21
Wien,Wien,LOC,-0.047619047619047616,0.047619047619047616,de,21
Charkiw,Charkiw,LOC,0.15,0.1,de,20
Peking,Peking,LOC,-0.135,0.1,de,20
Sachsen,Sachsen,LOC,0.034999999999999996,0.1,de,20
Luxemburg,Luxemburg,LOC,0.13999999999999999,0.0,de,20
Hessen,Hessen,LOC,-0.015000000000000003,0.1,de,20
Bundesrepublik,Bundesrepublik,LOC,-0.17368421052631577,0.05263157894736842,de,19
Straße,Straße,LOC,0.14736842105263157,0.10526315789473684,de,19
Bundesanwaltschaft,Bundesanwaltschaft,LOC,-0.3157894736842105,0.0,de,19
Kasachstan,Kasachstan,LOC,0.10526315789473684,0.21052631578947367,de,19
Brandenburgs,Brandenburgs,LOC,0.13333333333333333,0.0,de,18
Griechenland,Griechenland,LOC,0.15555555555555556,0.0,de,18
Krim,Krim,LOC,-0.10277777777777779,0.044444444444444446,de,18
Landtag,Landtag,LOC,-0.1259259259259259,0.0,de,18
Brunsbüttel,Brunsbüttel,LOC,-0.008823529411764707,0.0,de,17
Hannover,Hannover,LOC,-0.041176470588235294,0.0,de,17
Afrika,Afrika,LOC,-0.15588235294117647,0.08823529411764706,de,17
Brandenburg,Brandenburg,LOC,-0.058823529411764705,0.17647058823529413,de,17
Spaniens,Spaniens,LOC,-0.084375,0.125,de,16
Corona,Corona,LOC,0.06458333333333333,0.10416666666666666,de,16
Niedersachsens,Niedersachsens,LOC,-0.03750000000000002,0.05,de,16
Bornholm,Bornholm,LOC,0.0,0.2,de,15
Brüssel.,Brüssel.,LOC,0.020000000000000004,0.0,de,15
Entlastungspaket,Entlastungspaket,LOC,0.17857142857142858,0.05714285714285715,de,14
Bayerns,Bayerns,LOC,-0.0023809523809523963,0.14285714285714285,de,14
Energiepreisbremsen,Energiepreisbremsen,LOC,0.16071428571428573,0.07142857142857142,de,14
Qualitätsartikel,Qualitätsartikel,LOC,-1.0,0.0,de,14
Bali,Bali,LOC,0.049999999999999996,0.0,de,14
Neckarwestheim 2,Neckarwestheim 2,LOC,0.0,0.0,de,14
britische Regierung,britische Regierung,LOC,0.0,0.14285714285714285,de,14
Audioinhalten,Audioinhalten,LOC,0.7,0.0,de,14
"Podcasts
","Podcasts
",LOC,0.7,0.0,de,14
Belarus,Belarus,LOC,0.007692307692307699,0.0,de,13
Japan,Japan,LOC,0.01153846153846154,0.07692307692307693,de,13
Mittelmeer,Mittelmeer,LOC,0.02884615384615384,0.0,de,13
Lützerath,Lützerath,LOC,0.25769230769230766,0.23076923076923078,de,13
Münster,Münster,LOC,-0.05384615384615384,0.0,de,13
Bundeswirtschaftsminister,Bundeswirtschaftsminister,LOC,0.0,0.15384615384615385,de,13
Erde,Erde,LOC,0.041666666666666664,0.2916666666666667,de,12
Saudi-Arabien,Saudi-Arabien,LOC,-0.033333333333333326,0.0,de,12
Baden-Württemberg,Baden-Württemberg,LOC,-0.10833333333333334,0.0,de,12
Privacy Center,Privacy Center,LOC,0.0,0.0,de,12
Ungarn,Ungarn,LOC,-0.225,0.16666666666666666,de,12
der Schweiz,der Schweiz,LOC,-0.26666666666666666,0.041666666666666664,de,12
Kärnten,Kärnten,LOC,0.05833333333333333,0.0,de,12
Lingen,Lingen,LOC,0.30416666666666664,0.0,de,12
Stromausfällen,Stromausfällen,LOC,-0.3819444444444445,0.0,de,12
Dresden,Dresden,LOC,0.11666666666666665,0.0,de,12
Zürich,Zürich,LOC,-0.16666666666666666,0.08333333333333333,de,12
Österreichs,Österreichs,LOC,-0.045833333333333316,0.0,de,12
Moldau,Moldau,LOC,-0.42500000000000004,0.0,de,12
Moskaus,Moskaus,LOC,-0.3458333333333334,0.0,de,12
Scharm el-Scheich,Scharm el-Scheich,LOC,-0.033333333333333326,0.0,de,12
Klimaaktivisten,Klimaaktivisten,LOC,-0.425,0.0,de,12
Lauterbach,Lauterbach,LOC,-0.3136363636363636,0.045454545454545456,de,11
Ostseeküste,Ostseeküste,LOC,-0.07727272727272728,0.0,de,11
Athen,Athen,LOC,0.2545454545454545,0.0,de,11
Belgien,Belgien,LOC,0.06363636363636363,0.09090909090909091,de-DE,11
Gaseinkauf,Gaseinkauf,LOC,-0.1803030303030303,0.0,de,11
Ostdeutschland,Ostdeutschland,LOC,0.24545454545454548,0.18181818181818182,de,11
Briten,Briten,LOC,0.02727272727272728,0.0,de,11
Stuttgart,Stuttgart,LOC,0.5,0.0,de,11
Gasspeicherverband,Gasspeicherverband,LOC,0.0,0.0,de,11
Paris.,Paris.,LOC,0.12727272727272726,0.0,de,11
Portugal,Portugal,LOC,-0.03272727272727272,0.018181818181818184,de,11
Zürich:,Zürich:,LOC,-0.16999999999999998,0.0,de,10
AKW-Laufzeiten,AKW-Laufzeiten,LOC,0.13999999999999999,0.0,de,10
Druschba-Pipeline,Druschba-Pipeline,LOC,-0.10499999999999998,0.0,de,10
Vereinigten Staaten,Vereinigten Staaten,LOC,0.18416666666666665,0.3,de,10
Glasgow,Glasgow,LOC,0.13,0.0,de,10
Nord Stream,Nord Stream,LOC,-0.06999999999999999,0.0,de,10
Land Berlin,Land Berlin,LOC,0.05,0.65,de,10
Verbraucherpreise,Verbraucherpreise,LOC,0.10999999999999999,0.2,de,10
Pyrenäen,Pyrenäen,LOC,0.0,0.0,de,10
Vorarlberg,Vorarlberg,LOC,0.1,0.3,de,10
Landtagswahl,Landtagswahl,LOC,0.0,0.2,de,10
Nord Stream-Pipelines,Nord Stream-Pipelines,LOC,-0.1,0.0,de,10
Bürgergelds,Bürgergelds,LOC,-0.47000000000000003,0.0,de,10
Aldi,Aldi,LOC,0.06999999999999999,0.3,de,10
Abu Dhabi,Abu Dhabi,LOC,0.03333333333333334,0.0,de,9
Niedersachsen.,Niedersachsen.,LOC,0.30000000000000004,0.0,de,9
Teheran,Teheran,LOC,-0.17777777777777776,0.0,de,9
Alpen,Alpen,LOC,-0.3333333333333333,0.0,de,9
Frankfurt/Main,Frankfurt/Main,LOC,-0.1111111111111111,0.0,de,9
Bundesrechnungshof,Bundesrechnungshof,LOC,-0.2222222222222222,0.0,de,9
Deutschland?,Deutschland?,LOC,-0.3333333333333333,0.0,de,9
Mengen,Mengen,LOC,0.3111111111111111,0.1111111111111111,de,9
Winter.,Winter.,LOC,0.06666666666666668,0.1111111111111111,de,9
Weltwetterorganisation,Weltwetterorganisation,LOC,-0.05555555555555555,0.12777777777777777,de,9
Tirol,Tirol,LOC,0.0,0.1111111111111111,de,9
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.36666666666666664,0.0,de,9
Ostsee-Insel,Ostsee-Insel,LOC,0.0,0.3333333333333333,de,9
Kiew.,Kiew.,LOC,0.1111111111111111,0.0,de,9
