,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.036761904761904725,0.03780952380952381,de,350
SPD,SPD,ORG,0.10187198067632851,0.044867149758454114,de,276
FDP,FDP,ORG,0.01032608695652173,0.0901268115942029,de,184
Bundestag,Bundestag,ORG,0.04734848484848482,0.013636363636363636,de,176
Grüne,Grüne,ORG,0.03614864864864864,0.10641891891891891,de,148
EU-Kommission,EU-Kommission,ORG,-0.01875,0.003676470588235294,de,136
Uniper,Uniper,ORG,-0.1012396694214876,0.07024793388429752,de,121
CDU,CDU,ORG,0.02663230240549827,0.03161512027491409,de,97
SPIEGEL,SPIEGEL,ORG,0.6626666666666674,0.0,de,75
FOCUS,FOCUS,ORG,-0.03704954954954955,0.07432432432432433,de,74
E-Paper,E-Paper,ORG,0.7000000000000007,0.0,de,71
LNG,LNG,ORG,0.04000000000000001,0.09230769230769231,de,65
AKW,AKW,ORG,-0.05390625,0.03125,de,64
EU-Staaten,EU-Staaten,ORG,0.02841530054644809,0.12295081967213115,de,61
Bundesnetzagentur,Bundesnetzagentur,ORG,-0.12055555555555555,0.1111111111111111,de,60
WELT,WELT,ORG,0.4305555555555553,0.07222222222222223,de,60
Grünen,Grünen,ORG,0.027298850574712645,0.016091954022988506,de,58
Gazprom,Gazprom,ORG,-0.08571428571428573,0.09821428571428571,de,56
…,…,ORG,0.05000000000000001,0.03773584905660377,de,53
die Grünen,die Grünen,ORG,0.18076923076923074,0.04807692307692308,de,52
CSU,CSU,ORG,0.09423076923076926,0.09807692307692308,de,52
Kommission,Kommission,ORG,0.07200000000000001,0.02,de,50
EZB,EZB,ORG,0.04,0.015,de,50
Die Grünen,Die Grünen,ORG,-0.021428571428571425,0.04081632653061224,de,49
BASF,BASF,ORG,0.10709219858156029,0.02127659574468085,de,47
Partei,Partei,ORG,0.15113636363636365,0.06818181818181818,de,44
NZZ,NZZ,ORG,0.0,0.9047619047619048,de,42
AfD,AfD,ORG,0.012698412698412695,0.007936507936507936,de,42
Ukraine,Ukraine,ORG,-0.9230769230769231,0.0,de,39
"Schweiz, International, Sport, Digital, Wirtschaft, Auto &","Schweiz, International, Sport, Digital, Wirtschaft, Auto &",ORG,0.0,0.9743589743589743,de,39
KURZMELDUNGEN,KURZMELDUNGEN,ORG,-0.07361111111111111,0.041666666666666664,de,36
Katar,Katar,ORG,0.14193548387096774,0.016129032258064516,de,31
Europäischen Union,Europäischen Union,ORG,-0.2032258064516129,0.1935483870967742,de,31
VNG,VNG,ORG,0.11666666666666667,0.0,de,30
DER SPIEGEL.,DER SPIEGEL.,ORG,-0.1,0.0,de,30
Deutschland,Deutschland,ORG,0.029310344827586217,0.034482758620689655,de,29
RWE,RWE,ORG,0.1441975308641975,0.15432098765432098,de,27
Nord Stream 1,Nord Stream 1,ORG,-0.17692307692307693,0.0,de,26
RT DE.,RT DE.,ORG,0.011538461538461532,0.057692307692307696,de,26
Gewerkschaften,Gewerkschaften,ORG,0.26,0.17333333333333337,de,25
ÖVP,ÖVP,ORG,0.18055555555555555,0.0,de,24
Nato,Nato,ORG,0.05227272727272727,0.045454545454545456,de,22
