,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.01001814882032667,0.05124016938898971,de,551
Olaf Scholz,Olaf Scholz,PER,0.11956751054852317,0.03185654008438819,de,316
Scholz,Scholz,PER,0.0736694677871148,0.03711484593837535,de,238
Robert Habeck,Robert Habeck,PER,0.10316301703163014,0.03126520681265207,de,137
Putin,Putin,PER,-0.008018867924528304,0.03773584905660377,de,106
Gaspreisbremse,Gaspreisbremse,PER,0.10635738831615119,0.03436426116838488,de,97
Lindner,Lindner,PER,-0.024731182795698924,0.13440860215053763,de,93
Christian Lindner,Christian Lindner,PER,0.013675213675213675,0.11324786324786323,de,78
Habeck,Habeck,PER,0.02957746478873239,0.0539906103286385,de,71
Freier,Freier,PER,0.7000000000000005,0.0,de,64
Wladimir Putin,Wladimir Putin,PER,0.07232142857142856,0.0,de,56
Putins,Putins,PER,-0.07333333333333333,0.08484848484848484,de,55
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,-0.007407407407407402,0.0,de,54
Liz Truss,Liz Truss,PER,0.020212765957446813,0.11702127659574468,de,47
Macron,Macron,PER,-0.10978260869565216,0.021739130434782608,de,46
Selenskyj,Selenskyj,PER,-0.01931818181818182,0.0,de,44
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.12857142857142856,0.0,de,42
Baerbock,Baerbock,PER,-0.0543859649122807,0.14035087719298245,de,38
Nord-Stream-Pipelines,Nord-Stream-Pipelines,PER,-0.04027777777777779,0.1111111111111111,de,36
Leyen,Leyen,PER,-0.05119047619047619,0.14285714285714285,de,28
Biden,Biden,PER,-0.18703703703703703,0.05555555555555555,de,27
Kretschmer,Kretschmer,PER,0.12371794871794872,0.0,de,26
Emmanuel Macron,Emmanuel Macron,PER,-0.038461538461538464,0.1,de,26
Ursula von der Leyen,Ursula von der Leyen,PER,-0.092,0.02,de,25
Joe Biden,Joe Biden,PER,-0.018750000000000006,0.0,de,24
Gaspreisdeckel,Gaspreisdeckel,PER,0.04374999999999999,0.0,de,24
Friedrich Merz,Friedrich Merz,PER,-0.14285714285714285,0.047619047619047616,de,21
Preisbremse,Preisbremse,PER,0.3325,0.05,de,20
Energiesparen,Energiesparen,PER,0.10499999999999998,0.05,de-DE,20
Erdogan,Erdogan,PER,0.3421052631578948,0.0,de,19
Stephan,Stephan,PER,0.2894736842105263,0.05263157894736842,de,19
Markus Söder,Markus Söder,PER,-0.15833333333333335,0.0,de,18
Merkel,Merkel,PER,0.25,0.07777777777777778,de,18
nan,nan,PER,0.2986111111111111,0.0,de,18
Frank-Walter Steinmeier,Frank-Walter Steinmeier,PER,-0.02352941176470588,0.0,de,17
Klingbeil,Klingbeil,PER,0.04705882352941176,0.0,de,17
Annalena Baerbock,Annalena Baerbock,PER,0.10882352941176471,0.0,de,17
Michael Kretschmer,Michael Kretschmer,PER,-0.05833333333333333,0.0,de,16
Wolfgang Schäuble,Wolfgang Schäuble,PER,0.059375,0.0,de,16
Kommt,Kommt,PER,-0.0625,0.0,de,16
Faeser,Faeser,PER,0.1375,0.15625,de,16
Nancy Faeser,Nancy Faeser,PER,-0.18666666666666665,0.0,de,15
Steigende,Steigende,PER,-0.12666666666666668,0.03333333333333333,de,15
Bundespräsident Steinmeier,Bundespräsident Steinmeier,PER,-0.13666666666666666,0.0,de,15
Franziska Giffey,Franziska Giffey,PER,0.2714285714285714,0.07142857142857142,de,14
Klaus Müller,Klaus Müller,PER,0.0653846153846154,0.0,de,13
Katastrophenschützer,Katastrophenschützer,PER,-0.31538461538461543,0.20512820512820512,de,13
Angela Merkel,Angela Merkel,PER,0.48461538461538467,0.09230769230769233,de,13
Ricarda Lang,Ricarda Lang,PER,0.13076923076923078,0.0,de,13
Steffi Lemke,Steffi Lemke,PER,0.10769230769230768,0.0,de,13
Söder,Söder,PER,0.10000000000000002,0.125,de,12
Elon Musk,Elon Musk,PER,-0.18888888888888888,0.19444444444444445,de,12
Corona,Corona,PER,-0.09090909090909091,0.18181818181818182,de,11
Truss,Truss,PER,-0.18181818181818182,0.0,de,11
Steinmeier,Steinmeier,PER,0.11212121212121212,0.0,de,11
Giffey,Giffey,PER,-0.02727272727272728,0.0,de,11
Explosionen,Explosionen,PER,-0.07727272727272727,0.0,de,11
Luisa Neubauer,Luisa Neubauer,PER,0.1,0.2,de,10
Sergej Schoigu,Sergej Schoigu,PER,-0.06999999999999999,0.0,de,10
Veronika Grimm,Veronika Grimm,PER,0.265,0.0,de,10
Charles Michel,Charles Michel,PER,0.0,0.2,de,10
Wüst,Wüst,PER,-0.8150000000000001,0.0,de,10
Habecks,Habecks,PER,0.1,0.1,de,10
Gabor Steingart,Gabor Steingart,PER,0.039999999999999994,0.1,de,10
Donald Trump,Donald Trump,PER,-0.3,0.0,de,10
