,summary,Wirtschaft,Russland,Politik,Quelle,Wetter,Gesellschaft,Other,Klimawandel,word
summaryOfAllWords,87261.32349680125,12167.224985421853,18388.769954437823,9007.064465158346,15170.98977043417,10310.282105633838,10607.83995351792,2719.8327689013718,8889.319493305018,
Ungarn,25.86562704782152,-0.11698213831962914,0.35236285397033046,0.07033057920057104,-0.0850346039197905,-0.5274950158251461,-0.5556222139778172,0.3708379943291643,0.1733988064474681,Ungarn
Russland,129.4184627961871,-0.4785791600890471,0.959923191951943,-0.6359500902825282,-0.5516116261079864,-0.8051413178545207,-0.9221366196416455,-0.9695545980280431,-0.06459656275723803,Russland
ungarn russland,5.203455137219851,-0.40411867783396443,0.8240923524306111,-0.5677215178531029,-0.7325474997952464,-0.5959369894216521,-0.6194529235007505,-0.23365167967688796,0.23765829527607313,ungarn russland
Warum,31.61983062003575,-0.1984600201316592,0.11713932573049564,-0.11568202680970911,0.062417742728027484,-0.3093523558300283,0.3290831362234556,-2.0381133003048277,0.095089904163844,Warum
russland warum,4.626652107202738,-0.28662934297743775,0.672877178201992,-0.45023218299657636,-0.6150581649387197,-0.4784476545651255,-0.5019635886442237,-0.1161623448203611,0.3732037753033655,russland warum
Orban,4.605440298895925,-0.2820341017905261,0.6620694190274852,-0.4456369418096646,-0.6104629237518081,-0.47385241337821377,-0.497368347457312,-0.11156710363344947,0.3894113677465736,Orban
warum orban,4.605440298895925,-0.2820341017905261,0.6620694190274852,-0.4456369418096646,-0.6104629237518081,-0.47385241337821377,-0.497368347457312,-0.11156710363344947,0.3894113677465736,warum orban
Putin,39.31880761054705,-0.5177836995625432,0.9430615257917447,-0.9850337068644522,-0.5602823491986126,-1.1118171080912749,-1.1398437161164428,-0.41948342720519605,0.31599032813401895,Putin
orban putin,4.804897979113924,-0.3244316333925319,0.7163072812088446,-0.4880344734116702,-0.6528604553538139,-0.5162499449802196,-0.5397658790593178,-0.15396463523545523,0.3592836733260637,orban putin
Rücken,4.305338447091284,-0.21465157543008026,0.5323966775955898,-0.3782544154492188,-0.5430803973913622,-0.40646988701776793,-0.42998582109686617,-0.04418457727300365,0.5080714064597197,Rücken
putin rücken,4.305338447091284,-0.21465157543008026,0.5323966775955898,-0.3782544154492188,-0.5430803973913622,-0.40646988701776793,-0.42998582109686617,-0.04418457727300365,0.5080714064597197,putin rücken
stärkt,4.326049088327635,-0.2194504981752206,0.5322935749056317,-0.383053338194359,-0.5478793201365023,-0.41126880976290825,-0.43478474384200644,-0.04898350001814395,0.5215391127481731,stärkt
rücken stärk,4.326049088327635,-0.2194504981752206,0.5322935749056317,-0.383053338194359,-0.5478793201365023,-0.41126880976290825,-0.43478474384200644,-0.04898350001814395,0.5215391127481731,rücken stärk
Das,98.57597375402229,0.0908333533794556,0.2133956924532489,-0.12475888068535895,0.08966087348137072,-0.22173943045769723,-0.21005706091993878,0.022057730380704674,-0.2402117849782955,Das
stärk das,4.381290887048679,-0.23213922746655494,0.545268869829629,-0.3957420674856934,-0.5605680494278369,-0.42395753905424255,-0.44747347313334085,-0.061672229309478396,0.5287033460723365,stärk das
EU-Bollwerk,5.89888213807418,-0.3347387903563492,0.7423588771656909,-0.6931615282864778,-0.8579875102286212,-0.7213769998550271,-0.7448929339341253,-0.35909169011026265,0.650660474548799,EU-Bollwerk
das eu-bollwerk,5.89888213807418,-0.3347387903563492,0.7423588771656909,-0.6931615282864778,-0.8579875102286212,-0.7213769998550271,-0.7448929339341253,-0.35909169011026265,0.650660474548799,das eu-bollwerk
eu-bollwerk russland,7.403167836505352,-0.5618839201407329,0.9789749416263287,-0.9203066580708613,-1.0851326400130046,-0.9485221296394106,-0.9720380637185088,-0.5862368198946463,0.3911724440859056,eu-bollwerk russland
steht,28.81115610895613,0.15724595454373763,0.33642077743329246,-0.2338146135457217,0.039822171870631966,-0.4278437106081004,-0.2410543723304438,-1.9450915023027606,0.0030949003000120606,steht
russland steh,6.330899131579696,-0.4054181944915803,0.7745644599183236,-0.763840932421709,-0.9286669143638523,-0.7920564039902581,-0.8155723380693565,-0.4297710942454939,0.7016423796403196,russland steh
Land,27.39243852999916,0.1552782885853348,0.28645503124054106,-0.28847512534528696,-0.020842787241254393,-0.6063597335638242,-0.6344753561335189,-0.06429354707010927,0.3920653699464588,Land
steh land,5.953376674156722,-0.343934492366306,0.6371853083778682,-0.7023572302964345,-0.8671832122385781,-0.7305727018649837,-0.754088635944082,-0.36828739212021944,0.8684443052631715,steh land
versucht,8.680017045498914,-0.7209994179565348,0.8231899485648708,-0.7393857632455189,-1.2442481378288068,-1.1076376274552124,-1.1311535615343107,-0.7453523177104481,0.9361340628981422,versucht
land ver+such,5.934572950045202,-0.34077099649228554,0.6057615201447423,-0.6991937344224141,-0.8640197163645575,-0.7274092059909633,-0.7509251400700615,-0.36512389624619895,0.9135130343017338,land ver+such
seit,25.362935571530212,-0.19698898889857938,0.2693208814282908,-0.2553656924563045,0.005765609664749572,0.1665836508872397,-0.26628499725965427,-1.817617704117947,0.13877259978580697,seit
ver+such seit,5.977144077887063,-0.3479188004557887,0.5520002592585849,-0.7063415383859174,-0.8711675203280607,-0.7345570099544666,-0.7580729440335647,-0.3722717002097022,0.999401317881013,ver+such seit
Kriegsbeginn,6.048445496067527,-0.3597772217475859,0.5207571826044395,-0.7181999596777144,-0.8830259416198579,-0.7464154312462636,-0.7699313653253619,-0.3841301215014993,1.0537921381911715,Kriegsbeginn
seit krieg+s+beginn,6.048445496067527,-0.3597772217475859,0.5207571826044395,-0.7181999596777144,-0.8830259416198579,-0.7464154312462636,-0.7699313653253619,-0.3841301215014993,1.0537921381911715,seit krieg+s+beginn
Ukraine,119.25243941281964,-0.8950914990203052,-0.4628832024559079,-1.3967748593744567,-1.4148123871221292,-1.527273660179142,-1.388943958486285,-0.8126498712658605,1.8877651460331666,Ukraine
krieg+s+beginn ukraine,7.635905961269497,-0.5928375161246185,0.24483550040018998,-0.951260254054747,-1.1160862359968904,-0.9794757256232962,-1.0029916597023945,-0.6171904158785321,1.488097723203484,krieg+s+beginn ukraine
auszuscheren,6.455349338597237,-0.42488506742333,0.41034700412177516,-0.7833078053534585,-0.9481337872956018,-0.8115232769220077,-0.8350392110011059,-0.44923796717724324,1.238654740142978,auszuscheren
ukraine aus+scher,6.455349338597237,-0.42488506742333,0.41034700412177516,-0.7833078053534585,-0.9481337872956018,-0.8115232769220077,-0.8350392110011059,-0.44923796717724324,1.238654740142978,ukraine aus+scher
liefert,18.26983105908208,0.19157789877748937,0.2659689861348201,0.03707115894572043,-0.06736785983395897,-0.46871165609635496,-0.49664330960292075,-1.489579948717118,0.25594689713598395,liefert
ungarn liefer,16.45766394396157,-0.10846234738170442,0.33129853533822984,-0.057454016364102,-0.10391734705110446,-0.4853122091248937,-0.5131299017018801,0.3422243273924285,0.30252992544871876,ungarn liefer
Waffen,19.56613585537931,-0.2975889159097146,0.6717188418966293,-0.707460467934966,-0.5459811683999859,-0.9172354667988258,-0.9447181184864251,0.2282525360081216,0.6680908568843988,Waffen
liefer waffe,6.924709398680298,-0.4950720126224457,0.6627886373373378,-0.8534947505525742,-1.0183207324947174,-0.8817102221211233,-0.9052261562002215,-0.5194249123763589,1.020886316448746,liefer waffe
waffe ukraine,7.63105032248594,-0.5922014182859883,0.24310656271084388,-0.9506241562161167,-1.11545013815826,-0.9788396277846658,-1.002355561863764,-0.6165543180399016,1.4887338210421144,waffe ukraine
droht,47.69571511867535,-0.3741807919907594,-0.24863462635478234,0.15851074694263764,-0.18834177155350798,0.290030854256025,0.1819198524252962,0.5479354464906038,0.13973503029353873,droht
ukraine droh,6.071024110506992,-0.3635032330821229,0.39158316923823133,-0.7219259710122514,-0.886751952954395,-0.7501414425808006,-0.7736573766598989,-0.38785613283603637,1.1949400881620424,ukraine droh
immer,53.28315037743779,0.007973678664079149,0.19931858718480328,-0.04881558892375384,0.023073435639374407,-0.46681310032818596,-0.1756902002443794,0.2626083286569228,0.07158670369596755,immer
droh immer,5.804064244758445,-0.318534329528392,0.4116033242693949,-0.6769570674585205,-0.841783049400664,-0.7051725390270697,-0.7286884731061679,-0.34288722928230536,1.125793053681855,droh immer
Sanktionsblockade,4.160136582505327,-0.1803437294972522,0.3444709893333823,-0.34394656951639074,-0.5087725514585341,-0.37216204108494,-0.395677975164038,-0.009876731340175568,0.7438347763837898,Sanktionsblockade
immer sanktion+s+blockade,4.160136582505327,-0.1803437294972522,0.3444709893333823,-0.34394656951639074,-0.5087725514585341,-0.37216204108494,-0.395677975164038,-0.009876731340175568,0.7438347763837898,immer sanktion+s+blockade
Orbans,4.110771450052807,-0.1684065350673766,0.3790230120955498,-0.3320093750865149,-0.4968353570286584,-0.3602248466550642,-0.3837407807341624,0.002060463089700079,0.664643404876083,Orbans
Motive,4.109731810527212,-0.1681535968960303,0.395196610985617,-0.33175643691516893,-0.49658241885731214,-0.359971908483718,-0.38348784256281626,0.0023134012610463725,0.6383194766959661,Motive
orbans motiv,4.109731810527212,-0.1681535968960303,0.395196610985617,-0.33175643691516893,-0.49658241885731214,-0.359971908483718,-0.38348784256281626,0.0023134012610463725,0.6383194766959661,orbans motiv
vielfältig,4.132654785215438,-0.17371582902916025,0.4305654841037386,-0.33731866904829866,-0.5021446509904421,-0.3655341406168479,-0.38905007469594616,-0.003248830872083569,0.5931268897388223,vielfältig
motiv vielfältig,4.132654785215438,-0.17371582902916025,0.4305654841037386,-0.33731866904829866,-0.5021446509904421,-0.3655341406168479,-0.38905007469594616,-0.003248830872083569,0.5931268897388223,motiv vielfältig
Sanktionsb…,4.001670063205678,-0.141507613215879,0.24624413303848314,-0.3051104532350174,-0.46993643517716077,-0.33332592480356654,-0.3568418588826647,0.028959384941197788,0.7826708926651632,Sanktionsb…
immer sanktionsb…,4.001670063205678,-0.141507613215879,0.24624413303848314,-0.3051104532350174,-0.46993643517716077,-0.33332592480356654,-0.3568418588826647,0.028959384941197788,0.7826708926651632,immer sanktionsb…
+6048,4.400713309211325,-0.23656246694476535,0.12426600984454915,-0.40016530696390396,-0.0700966989721861,-0.4283807785324529,0.021295142144927625,-0.0660954687876887,0.6218345203605046,+6048
sanktionsb… +6048,3.9162475303516295,-0.11992975609849696,0.24089872069081747,-0.28353259611763554,-0.4483585780597788,-0.3117480676861846,-0.33526400176528276,0.05053724205857954,0.7384672312067729,sanktionsb… +6048
chars,302.0723692635617,0.00924728104514828,0.1172756429701848,-0.05125178285343222,0.06723064573111118,-0.05329972077710987,-0.059868477365690766,-0.391218039628942,-0.11604849101005882,chars
+6048 chars,4.36326263307766,-0.22801591128531068,0.12185819934952809,-0.3916187513044492,-0.06707200795678572,-0.4198342228729985,0.027668067404835198,-0.057548913128234236,0.6050340286581487,+6048 chars
Wirtschaft,28.36582850376567,0.7742584962391351,-0.03620482805488603,-0.44701841865254177,-0.04438368312781357,-0.5762318729726152,-0.34270162053279174,0.08183783688704366,-0.29975756856397284,Wirtschaft
oben,17.05597479138378,0.29763581986444504,0.12294243540297636,-0.24546681307103335,0.0813106208135075,-0.37084342445799945,-0.26127036845667156,0.44948537856840837,-0.23449278429630252,oben
wirtschaft oben,11.45090477208895,0.1778642762664307,0.15577220427719263,-0.18123816545129146,0.12039132792318681,-0.2995626697323132,-0.3271671029354111,0.34398486520424093,-0.17188040205460736,wirtschaft oben
Darum,12.104768823562903,0.09969523626974576,0.1848657713209906,-0.17142038476636667,0.135685509280636,-0.2914392361041686,-0.31912760042833793,0.3228811721772341,-0.16167158815421928,Darum
oben darum,12.104768823562903,0.09969523626974576,0.1848657713209906,-0.17142038476636667,0.135685509280636,-0.2914392361041686,-0.31912760042833793,0.3228811721772341,-0.16167158815421928,oben darum
